2009:01:16:08:36:42	-17.75216	223.63151	54.42347*
2009:01:16:08:36:42	-17.73965	373.54526	54.42347*
2009:01:16:08:36:42	-17.67318	556.47797	54.42347*
2009:01:16:08:36:43	-17.65935	920.2967	54.42347
2009:01:16:08:36:43	-17.56637	1306.70488	70.55841
2009:01:16:08:36:43	-17.50687	1413.89503	71.79073
2009:01:16:08:36:43	-17.45527	1779.19846	71.90734
2009:01:16:08:36:44	-17.43187	1919.54456	71.90734*
2009:01:16:08:36:44	-17.43044	2334.06191	71.90734*
2009:01:16:08:36:44	-17.32824	2925.80395	71.90734*
2009:01:16:08:36:44	-17.27101	3926.21406	71.90734*
2009:01:16:08:36:45	-17.25931	4255.28909	71.90734*
2009:01:16:08:36:45	-16.9283	4376.27293	71.90734*
2009:01:16:08:36:45	-16.9213	4423.59014	71.90734*
2009:01:16:08:36:45	-16.90749	4572.07831	71.90734*
2009:01:16:08:36:46	-16.85142	4652.12826	71.90734*
2009:01:16:08:36:46	-16.7444	4720.9735	71.90734*
2009:01:16:08:36:46	-16.7217	4803.90704	71.90734*
2009:01:16:08:36:46	-16.59963	4811.32096	71.90734*
2009:01:16:08:36:47	-16.29258	4949.62945	71.90734*
2009:01:16:08:36:47	-16.09474	5180.14514	71.90734*
2009:01:16:08:36:47	-15.83783	5284.67695	71.90734*
2009:01:16:08:36:48	-15.74331	5484.96229	71.90734*
2009:01:16:08:36:48	-15.7265	6327.79132	71.90734*
2009:01:16:08:36:48	-15.66727	6676.00361	71.90734*
2009:01:16:08:36:48	-15.57505	6825.40158	71.90734*
2009:01:16:08:36:49	-15.52946	7283.92688	71.90734*
2009:01:16:08:36:49	-15.22909	7337.80057	71.90734*
2009:01:16:08:36:49	-15.16865	7347.49057	71.90734*
2009:01:16:08:36:49	-14.98266	7358.99191	71.90734*
2009:01:16:08:36:50	-14.92298	7436.89122	71.90734*
2009:01:16:08:36:50	-14.8792	8101.99448	71.90734*
2009:01:16:08:36:50	-14.84554	8377.3417	71.90734*
2009:01:16:08:36:50	-14.73272	8631.26724	71.90734*
2009:01:16:08:36:51	-14.68639	8897.40972	71.90734*
2009:01:16:08:36:51	-14.34723	8921.68781	71.90734*
2009:01:16:08:36:51	-14.34166	9291.75112	71.90734*
2009:01:16:08:36:51	-14.24078	9883.88243	71.90734*
2009:01:16:08:36:52	-14.15732	10195.38774	71.90734*
2009:01:16:08:36:52	-14.11004	11137.40139	71.90734*
2009:01:16:08:36:52	-14.09735	11183.5065	71.90734*
2009:01:16:08:36:52	-13.92378	11995.68814	71.90734*
2009:01:16:08:36:53	-13.793	12715.41749	71.90734*
2009:01:16:08:36:53	-13.78268	12898.25599	71.90734*
