2009:01:16:08:36:42	-17.75216	223.63151
2009:01:16:08:36:42	-17.73965	373.54526
2009:01:16:08:36:42	-17.67318	556.47797
2009:01:16:08:36:43	-17.65935	920.2967
2009:01:16:08:36:43	-17.56637	1306.70488
2009:01:16:08:36:43	-17.50687	1413.89503
2009:01:16:08:36:43	-17.45527	1779.19846
2009:01:16:08:36:44	-17.43187	1919.54456
2009:01:16:08:36:44	-17.43044	2334.06191
2009:01:16:08:36:44	-17.32824	2925.80395
2009:01:16:08:36:44	-17.27101	3926.21406
2009:01:16:08:36:45	-17.25931	4255.28909
2009:01:16:08:36:45	-16.9283	4376.27293
2009:01:16:08:36:45	-16.9213	4423.59014
2009:01:16:08:36:45	-16.90749	4572.07831
2009:01:16:08:36:46	-16.85142	4652.12826
2009:01:16:08:36:46	-16.7444	4720.9735
2009:01:16:08:36:46	-16.7217	4803.90704
2009:01:16:08:36:46	-16.59963	4811.32096
2009:01:16:08:36:47	-16.29258	4949.62945
2009:01:16:08:36:47	-16.09474	5180.14514
2009:01:16:08:36:47	-15.83783	5284.67695
2009:01:16:08:36:48	-15.74331	5484.96229
2009:01:16:08:36:48	-15.7265	6327.79132
2009:01:16:08:36:48	-15.66727	6676.00361
2009:01:16:08:36:48	-15.57505	6825.40158
2009:01:16:08:36:49	-15.52946	7283.92688
2009:01:16:08:36:49	-15.22909	7337.80057
2009:01:16:08:36:49	-15.16865	7347.49057
2009:01:16:08:36:49	-14.98266	7358.99191
2009:01:16:08:36:50	-14.92298	7436.89122
2009:01:16:08:36:50	-14.8792	8101.99448
2009:01:16:08:36:50	-14.84554	8377.3417
2009:01:16:08:36:50	-14.73272	8631.26724
2009:01:16:08:36:51	-14.68639	8897.40972
2009:01:16:08:36:51	-14.34723	8921.68781
2009:01:16:08:36:51	-14.34166	9291.75112
2009:01:16:08:36:51	-14.24078	9883.88243
2009:01:16:08:36:52	-14.15732	10195.38774
2009:01:16:08:36:52	-14.11004	11137.40139
2009:01:16:08:36:52	-14.09735	11183.5065
2009:01:16:08:36:52	-13.92378	11995.68814
2009:01:16:08:36:53	-13.793	12715.41749
2009:01:16:08:36:53	-13.78268	12898.25599
2009:01:16:08:36:53	-13.68323	13882.12614
2009:01:16:08:36:53	-13.59004	14316.64185
2009:01:16:08:36:54	-13.39752	14336.6286
2009:01:16:08:36:54	-13.27929	14398.5378
2009:01:16:08:36:54	-13.11576	14534.00475
2009:01:16:08:36:54	-12.76086	14693.65822
2009:01:16:08:36:55	-12.75734	14766.623
2009:01:16:08:36:55	-12.7008	15308.25544
2009:01:16:08:36:55	-12.68464	15502.58574
2009:01:16:08:36:55	-12.62449	15737.86951
2009:01:16:08:36:56	-12.46187	15784.60602
2009:01:16:08:36:56	-12.37337	16063.37419
2009:01:16:08:36:56	-12.23325	16173.29671
2009:01:16:08:36:56	-12.13207	16382.91585
2009:01:16:08:36:57	-11.80948	16863.70871
2009:01:16:08:36:57	-11.65447	17268.18636
2009:01:16:08:36:57	-11.28969	18004.41751
2009:01:16:08:36:57	-11.17189	18060.19459
2009:01:16:08:36:58	-11.15759	18289.72185
2009:01:16:08:36:58	-11.12218	18959.06933
2009:01:16:08:36:58	-10.78991	19375.43794
2009:01:16:08:36:58	-10.78634	20925.32909
2009:01:16:08:36:59	-10.78519	21342.9183
2009:01:16:08:36:59	-10.74547	21547.89989
2009:01:16:08:36:59	-10.59384	22179.97627
2009:01:16:08:36:59	-10.47601	22307.94063
2009:01:16:08:37:00	-10.34151	22722.20126
2009:01:16:08:37:00	-10.27764	22855.65337
2009:01:16:08:37:00	-10.24903	23246.93944
2009:01:16:08:37:00	-10.24401	23281.88509
2009:01:16:08:37:01	-10.07548	23326.41316
2009:01:16:08:37:01	-10.07098	23466.91533
2009:01:16:08:37:01	-10.0251	23581.65
2009:01:16:08:37:01	-9.9948	23681.63348
2009:01:16:08:37:02	-9.69664	23824.28949
2009:01:16:08:37:02	-9.69297	23975.6802
2009:01:16:08:37:02	-9.66256	24039.30784
2009:01:16:08:37:02	-9.64072	24245.14536
2009:01:16:08:37:03	-9.52919	24983.94606
2009:01:16:08:37:03	-9.51259	26682.94454
2009:01:16:08:37:03	-9.31706	27208.06692
2009:01:16:08:37:03	-9.18693	27248.42828
2009:01:16:08:37:04	-9.04722	27509.50363
2009:01:16:08:37:04	-9.03458	27793.06084
2009:01:16:08:37:04	-8.66903	28210.9721
2009:01:16:08:37:04	-8.58249	28247.39014
2009:01:16:08:37:05	-8.54679	28357.94954
2009:01:16:08:37:05	-8.38686	28498.80747
2009:01:16:08:37:05	-8.25464	28649.06218
2009:01:16:08:37:05	-8.19893	29101.48973
2009:01:16:08:37:06	-7.53848	29282.71696
2009:01:16:08:37:06	-7.5173	29367.70979
2009:01:16:08:37:06	-7.37164	29820.54278
2009:01:16:08:37:06	-7.27593	30011.29561
2009:01:16:08:37:07	-7.06172	30167.74723
2009:01:16:08:37:07	-6.82107	30307.84407
